target	assay	ctcf_retained	ctcf_lost	rad21_retained	rad21_lost	atac_gained	atac_lost	n_experiments	factor_class
ZNF148	TF ChIP-seq	3.69059656218402	1.26347082868822	4.94531621493105	2.15862002505541	8.5427135678392	2.9506213059059	1	TF
ZNF155	TF ChIP-seq	0.736674851942799	0.367892976588629	1.14122681883024	0.530018309723427	3.3500837520938	1.08437659980453	1	TF
ZNF157	TF ChIP-seq	2.15224613606818	0.769230769230769	2.37755587256301	1.41659439144261	8.71021775544389	2.59691906734304	1	TF
ZNF16	TF ChIP-seq	2.72280803120035	1.03678929765886	2.37755587256301	1.8213356461405	7.87269681742044	2.44799180900079	1	TF
ZNF169	TF ChIP-seq	3.04781164235158	0.795243403939056	3.23347598668569	1.47441457068517	10.3852596314908	2.26648671289617	1	TF
ZNF174	TF ChIP-seq	1.30723674707497	0.587142326272761	1.14122681883024	0.770935723234075	2.51256281407035	1.47996462977614	1	TF
ZNF175	TF ChIP-seq	0.563339592662141	0.144927536231884	0.808368996671422	0.298737592753204	2.68006700167504	0.637594824777773	1	TF
ZNF18	TF ChIP-seq	12.8773653040589	6.07952434039391	13.3143128863528	11.4580321865664	27.6381909547739	13.1242146414111	1	TF
ZNF184	TF ChIP-seq	12.7329192546584	5.24712002972873	12.0304327151688	9.92579743663872	20.1005025125628	10.5040256899521	1	TF
ZNF189	TF ChIP-seq	36.9420771341904	17.2538089929394	36.566809320019	31.1458032186566	55.2763819095477	25.8807651137897	1	TF
ZNF19	TF ChIP-seq	0.852231691463238	0.52396878483835	1.09367570137898	0.838392599017057	2.34505862646566	1.39619304695863	1	TF
ZNF2	TF ChIP-seq	48.0860898454427	22.7350427350427	36.4717070851165	41.7268960200443	48.4087102177554	30.2043095825383	1	TF
ZNF202	TF ChIP-seq	1.2639029322548	0.709773318468971	1.23632905373276	0.92512286788089	6.03015075376884	3.47186671010378	1	TF
ZNF211	TF ChIP-seq	0.686118734652607	0.256410256410256	0.951022349025202	0.472198130480871	2.34505862646566	1.06110671568856	1	TF
